field,question
medical,Is this the ghost of my old tonsils? Had them removed at age 5. Whenever I’m feeling a little sick/ have allergies this gets bigger..
medical,Weird Birthmark.Does anyone know what type of birthmark this is? It was bright read when she was born and has faded over the years.
medical,what is this? i just got it?.
medical,Can fatigue from work make you sick?.
medical,Can oral HPV be transmitted if her lips touched my lower neck?.
medical,"Doesn’t itch, on inner thigh. What could it be?."
medical,Is the P450 inhibition by sesame in food amounts significant?.
medical,26M rash on bellybutton/ stomach. Red and itchy. Any guesses?.
medical,Is zeolite tooth powder safe?.
medical,Eye transplant?.Hypothetically if you could transplant a whole eyeball would the right eye work in a left socket?
medical,Does the neck expand or grow when asleep?.Just wanted to know
medical,What are these bumps on my wife's arm?.
medical,"Does anyone know how to treat dry ear wax on the outer ear? This ear wax appears everyday even I after clean my ears, it just keeps appearing.."
medical,What are these bites on my arm?.
medical,"Tender bump on areola, near nipple.."
medical,What is between my boyfriend’s toe?.
medical,"What is this growth on my scalp, I’ve had it for years now. Should I ever be worried about it?."
medical,Why does only one side of my stomach get big when I push it out (first 3 photos are me not pushing it out).
medical,What are these dry cracking spots in the corners of my mouth?.
medical,what was / is this? on my neck.
medical,"Hurts whenever I walk but other than that is fine, it's been there for about 2 weeks."
medical,Does this look like a staph infection?.
medical,Is there meds for seizures that actually work and don’t change your personality?.
medical,what are these tiny unitchy spots.
medical,"I stupidly peeled of a bit of my callus, I’m keeping it clean and Band-Aid ing it and wondering if I should be worried?."
medical,"what is going on in my throat?? very sore, hurts to swallow, swollen lymph nodes.."
medical,Is there something in human anatomy (inside&outside) that forms an (almost) perfect triangle? - from any angle.excited to learn from y‘all!
medical,what is this? (back circles).
medical,Painful lump on groin hard (M21).
medical,Allergies and weed.Is is possible for someone that has a pollen allergie to have a reaction from smoking weed ?
medical,Sneezing blood.F22. Is sneezing small amount of blood a symptom of tuberculosis?
medical,I poop blood every time after having a c section.It’s bright red and quite a bit. Sometimes it hurts to get out sometimes not
medical,Could this be Leukoplakia? I’m worry I have hiv..
medical,"What are these on my feet? They are thick and turn white when wet, are they calluses? I tried filing them off but they just come back and it hurts.."
medical,Do I have mouth cancer.Does this look like mouth cancer ? I’m freaking out please help
medical,"Huge (cyst??) on my thigh, irritated by even walking at this point, looking for advice."
medical,A cat scratched me lightly like 6 months ago. no scars and no pain. will I get rabies?.
medical,"What is this? I’ve had these 3 bumps for two years and they have recently started bleeding and itching, should I be worried?."
medical,Is a heart lesion always a bad thing? Test results.
medical,What might be wrong with my toe?.
medical,Baby momma is hot tubing with 5 month old. How Do I tell CPS while under Protection Order?.
medical,not pain but annoyance.in hip joint..what to call it? like twist or pinch
medical,"If I accidentally took a sip my three your old drank from, who has a stomach virus, can chasing it with tequila prevent infection?."
medical,"Started a new job exposed to extreme amounts of second hand smoke, how can I get rid of the cold like symptoms caused by this exposure?."
medical,Can anyone explain my CT to me? MRI in the morning 28F.
medical,"Is allergy to penicillin hereditary?.Talking with a friend, she told us that her father is allergic to penicillin and she doesn't know if she is too."
medical,XRAY interest.Just curious if this Xray looks normal? Can anyone tell me what the round hole could be?
medical,Can you take ibuprofen and doxycycline together? How soon between doses of doxycycline? Is 8 hours ok?.
medical,"Visual snow.Is it visual snow, if i see colours and static in the pitch dark? I also see static when i look at the sky."
medical,tw does it look infected? it's hard to tell in the photo but they have big rings around them and this never happened before.
medical,Nail indentions.What do nail indentions mean? Why do they appear? I've had this on my thumb for 5 months.
medical,3 week old burn. Fell asleep with my heating pad on. No pain or discharge. What level of burn in this and should I get it checked out?.
